variant_id,stop_id
509183,2007
509183,1083
509185,616
509185,1248
509185,711
509187,616
509187,1248
509187,711
509188,616
509188,1248
509188,711
509188,2279
509188,740
509188,748
509188,744
509190,616
509190,1248
509190,711
509190,2279
509190,740
509190,748
509190,744
509190,2008
509190,1077
509190,1999
509190,1082
509191,616
509191,1248
509191,711
509191,2279
509191,740
509191,748
509191,744
509191,2008
509191,1077
509191,1080
509191,1082
509192,743
509192,747
509192,739
509192,3415
509192,2828
509192,1819
509193,3415
509193,2828
509193,1819
509195,1081
509195,2009
509195,743
509195,747
509195,739
509195,3415
509195,2828
509195,1819
509196,1200
509196,2006
509196,747
509196,739
509196,3415
509196,2828
509196,1819
509197,1200
509197,2006
509197,743
509197,747
509197,739
509197,3415
509197,2828
509197,1819
509198,1200
509198,2006
509198,743
509198,747
509198,739
509198,3415
509198,2828
509198,1819
509199,1200
509199,2006
509199,743
509199,1084
509199,747
509199,739
509199,3415
509199,2828
509199,1819
509200,1200
509200,2006
509200,743
509200,1084
509200,747
509200,739
509200,3415
509200,2828
509200,1819
509201,711
509201,3422
509201,770
509201,2929
509201,1091
509202,711
509202,3422
509202,770
509202,2929
509203,2928
509203,771
509203,3415
509203,2828
509204,2928
509204,771
509205,771
509205,3415
509205,2828
509206,1090
509206,2928
509206,771
509206,3415
509206,2828
509207,1090
509207,2928
509207,771
509207,3415
509207,2828
509210,1087
509210,747
509210,739
509210,3415
509210,2828
509210,1819
509211,616
509211,1248
509211,711
509211,2279
509211,740
509211,748
509212,616
509212,1248
509212,711
509212,2279
509212,740
509212,748
509212,1084
509213,616
509213,1248
509213,711
509213,2279
509213,740
509213,748
509214,616
509214,1248
509214,711
509214,2279
509214,740
509214,748
509215,1087
509215,747
509215,739
509215,3415
509215,2828
509215,1819
509216,1087
509216,1084
509216,747
509216,739
509216,3415
509216,2828
509216,1819
509217,1087
509217,747
509217,739
509217,3415
509217,2828
509217,1819
509218,2782
509218,2929
509219,3420
509219,2782
509219,3026
509219,2928
509219,777
509220,3420
509220,2782
509221,2782
509222,2782
509222,2929
509223,2114
509223,776
509223,2781
509223,3415
509224,2114
509224,776
509224,2781
509224,3415
509225,2114
509225,776
509225,2781
509225,3415
509226,2114
509226,776
509226,2781
509227,2114
509227,2781
509227,3415
509228,2114
509228,2781
509228,3415
509229,2781
509229,3415
509230,2781
509230,3415
509232,3421
509232,1977
509232,2074
509232,1702
509232,2076
509232,3064
509232,2680
509232,3067
509234,1977
509234,1979
509234,1702
509236,2074
509236,1702
509237,711
509237,2074
509237,1702
509238,1081
509238,2076
509238,3064
509238,2680
509238,3067
509239,3421
509239,3058
509239,1977
509239,2074
509239,1702
509239,2076
509239,2680
509239,3067
509240,3058
509240,1977
509240,2074
509240,1702
509240,2076
509240,2680
509240,3067
509241,3244
509241,3058
509241,1977
509241,2073
509241,1979
509241,1702
509241,2076
509241,2680
509241,3067
509242,3245
509242,3415
509243,3066
509243,1082
509243,2075
509243,1978
509243,3058
509243,3415
509244,3066
509244,1082
509244,2075
509244,1978
509244,3058
509245,3066
509245,2679
509245,2077
509245,1082
509245,2075
509245,1978
509245,3058
509246,3066
509246,2679
509246,2077
509246,1082
509246,2075
509246,1978
509246,3058
509246,3415
509251,3066
509251,2679
509251,1082
509252,3066
509252,1082
509253,711
509253,770
509253,2929
509253,3027
509254,2928
509254,771
509254,3415
509254,2828
509255,2305
509255,3034
509255,3036
509255,1979
509255,1702
509255,3060
509255,3031
509256,3031
509256,3061
509256,1703
509256,1731
509256,3037
509256,3035
509256,2274
509257,748
509258,1087
509258,3415
509259,2928
509259,771
509259,3415
509259,2828
509260,711
509260,770
509260,2929
509260,3027
509261,2928
509261,771
509261,3415
509261,2828
509262,1297
509262,1295
509262,2928
509262,771
509262,3415
509262,2828
509263,3421
509263,2305
509263,3034
509263,3036
509263,1979
509263,1702
509263,3060
509263,3031
509264,3421
509264,2305
509264,3034
509264,3033
509264,3031
509264,1722
509265,2305
509265,3034
509265,3033
509265,3031
509265,1722
509266,2305
509266,3034
509266,3033
509266,3031
509266,1722
509267,3031
509267,3061
509267,1703
509267,1731
509267,3037
509267,3035
509267,2274
509268,3031
509268,3061
509268,1703
509268,1731
509268,3037
509268,3035
509268,2274
509268,3415
509269,3031
509269,3061
509269,1703
509269,1731
509269,3037
509269,3035
509269,2274
509269,3420
509270,3030
509270,3032
509270,3035
509270,2274
509270,3415
509271,3031
509271,3061
509272,3415
509275,742
509275,748
509276,742
509276,748
509277,748
509278,748
509279,1087
509280,616
509280,1248
509280,711
509280,2279
509280,740
509280,748
509281,743
509281,747
509281,739
509281,3415
509281,2828
509281,1819
509282,616
509282,1248
509282,711
509282,2279
509282,740
509282,748
509282,744
509282,2007
509282,1083
509283,743
509283,747
509283,739
509283,3415
509283,2828
509283,1819
509284,711
509284,3422
509284,770
509285,771
509285,3415
509285,2828
509286,616
509286,1248
509286,711
509286,2279
509286,740
509286,748
509286,1084
509292,616
509292,1248
509292,711
509292,2279
509292,740
509292,748
509293,743
509293,1084
509293,747
509293,739
509293,3415
509293,2828
509293,1819
509296,616
509296,1248
509296,711
509296,2279
509296,740
509296,748
509296,744
509296,2007
509296,1083
509297,2279
509297,740
509297,748
509297,744
509297,2007
509297,1083
509299,616
509299,1248
509299,711
509302,616
509302,1248
509302,711
509302,2279
509302,740
509302,748
509302,1084
509302,744
509302,2007
509302,1083
509303,616
509303,1248
509303,711
509303,2279
509303,740
509303,748
509303,744
509303,2008
509303,1077
509303,1999
509303,1082
509307,743
509307,747
509307,739
509307,3415
509307,2828
509307,1819
509310,1200
509310,2006
509310,743
509310,747
509310,739
509310,3415
509310,2828
509310,1819
509311,1200
509311,2006
509311,743
509311,747
509311,739
509311,3415
509311,2828
509311,1819
509318,771
509318,3415
509318,2828
509321,711
509321,3422
509321,770
509321,2929
509321,3027
509322,3026
509322,771
509322,3415
509322,2828
509323,1087
509323,747
509323,739
509323,3415
509323,2828
509323,1819
509324,616
509324,1248
509324,711
509324,2279
509324,740
509324,748
509333,3420
509333,2782
509334,2782
509342,2781
509342,3415
509344,2781
509344,3415
509346,3421
509346,1977
509346,1979
509346,1702
509346,2756
509346,2076
509346,3064
509346,2680
509346,3067
509348,3421
509348,1977
509348,2074
509348,1702
509352,3421
509352,3058
509352,1977
509352,2074
509352,1702
509352,2076
509352,2680
509352,3067
509359,3066
509359,2679
509359,2077
509359,1082
509359,2075
509359,1978
509359,3058
509359,3415
509360,3066
509360,2679
509360,2077
509360,1082
509360,2075
509360,1978
509360,3058
509360,3415
509361,3066
509361,2679
509361,1082
509361,1703
509361,2073
509361,1979
509361,2075
509361,1978
509361,3058
509361,3415
509362,3066
